"playerID","gamesBatted","totalRBI","totalHR","battingAverage","gamesPitched","pitchingERA","strikeOuts","gamesFielded","totalPutOut","totalGames","totalSeasons","managerWins","allstarAppearances","proportionalSal","class"
"quiseda01","674","1","0","0.1667","674","3.759230760427622","379","674","97","674","12","0","3","2.27177143","0"
"roushed01","1967","981","68","0.3227","0","0","0","1863","4683","1967","18","0","0","1.00000000","1"
"sistisi01","1016","260","27","0.2441","0","0","0","934","1600","1016","13","0","0","1.00000000","0"
"snidedu01","2143","1333","407","0.2955","0","0","0","1918","4099","2143","18","0","8","1.00000000","1"
"alexado01","562","17","0","0.1660","561","3.854782612427421","1528","561","264","562","19","0","1","1.61774000","0"
"bishoma01","1338","379","41","0.2706","0","0","0","1258","2923","1340","12","0","0","1.00000000","0"
"campbbi02","700","2","0","0.1538","700","3.917333380381266","864","700","119","700","15","0","1","0.71995000","0"
"crowlte01","865","229","42","0.2497","0","0","0","228","634","865","15","0","0","1.00000000","0"
"cuccito01","1704","884","94","0.2796","0","0","0","1678","3292","1704","15","0","3","1.00000000","0"
"dinnebi01","417","60","1","0.1916","391","3.173076941416814","1127","401","160","420","12","0","0","1.00000000","0"
"fieldce01","1470","1008","319","0.2546","0","0","0","915","7382","1470","13","0","3","3.83396667","0"
"fletcar01","1533","675","32","0.2768","0","0","0","1520","2917","1537","13","237","0","1.00000000","0"
"kleskry01","1736","987","278","0.2787","0","0","0","1635","6660","1736","16","0","1","1.88728667","0"
"randowi01","2202","687","54","0.2756","0","0","0","2153","4859","2202","18","303","6","1.57615000","0"
"reardje01","880","2","0","0.0877","880","3.293888919883304","877","880","44","880","16","0","4","1.97198889","0"
"schacal01","53","4","0","0.1961","53","3.9133334159851074","38","53","13","53","3","0","0","1.00000000","0"
"seymocy01","1529","799","52","0.3032","141","5.395000020662944","591","1482","2952","1530","16","0","0","1.00000000","0"
"alouma01","1667","427","31","0.3070","1","5.15","3","1481","3794","1667","15","0","2","1.00000000","0"
"boonebr01","1780","1021","252","0.2656","0","0","0","1771","3445","1780","14","0","3","1.79460000","0"
"crowdal01","403","59","0","0.1936","402","4.585000055176871","799","402","56","403","11","0","1","1.00000000","0"
"fingero01","945","9","2","0.1722","944","4.314705883755403","1299","944","108","945","17","0","7","2.23600000","1"
"gehrich01","2323","1427","184","0.3204","0","0","0","2221","5446","2323","19","0","6","1.00000000","1"
"koosmje01","612","46","2","0.1191","612","3.584499979019165","2556","612","116","612","19","0","2","1.25970000","0"
"millafe01","1480","403","22","0.2792","0","0","0","1452","3498","1480","12","0","3","1.00000000","0"
"motama01","1536","438","31","0.3040","0","0","0","1043","1481","1536","20","0","1","1.00000000","0"
"allendi01","1749","1119","351","0.2919","0","0","0","1722","7658","1749","15","0","7","1.00000000","0"
"bondsbo01","1849","1024","332","0.2678","0","0","0","1736","3659","1849","14","0","3","1.00000000","0"
"cramedo01","2239","842","37","0.2960","1","4.5","1","2144","5413","2238","20","0","5","1.00000000","0"
"daultda01","1161","588","137","0.2455","0","0","0","1087","5835","1161","14","0","3","2.16090833","0"
"davisto02","1999","1052","153","0.2936","0","0","0","1445","2429","1999","18","0","5","1.00000000","0"
"grissma01","356","6","0","0.1217","356","5.369999972256747","459","356","28","356","10","0","1","1.00000000","0"
"hraboal01","546","6","0","0.1429","545","2.766923060783973","548","545","20","546","13","0","0","1.00000000","0"
"manushe01","2008","1183","110","0.3298","0","0","0","1846","3842","2009","17","0","1","1.00000000","1"
"marquru01","536","64","1","0.1789","536","3.3931578899684705","1593","536","63","536","18","0","0","1.00000000","1"
"mattido01","1785","1099","222","0.3074","0","0","0","1714","14270","1785","14","816","6","3.82126364","0"
"pepitjo01","1397","721","219","0.2580","0","0","0","1449","9036","1397","12","0","3","1.00000000","0"
"sheckji01","2122","813","56","0.2740","0","0","0","2098","4242","2121","17","0","0","1.00000000","0"
"speiech01","2260","720","112","0.2458","0","0","0","2224","3314","2260","19","14","3","0.69726000","0"
"aloufe01","2082","852","206","0.2863","0","0","0","2006","6537","2082","17","1033","3","1.00000000","0"
"campabe01","2328","646","79","0.2590","1","9","1","2281","3789","2328","19","0","6","1.00000000","0"
"garcino01","1434","936","229","0.3127","0","0","0","1360","3422","1434","14","0","6","2.22732857","0"
"jonessa01","713","99","6","0.1971","647","3.833636413921009","1223","649","197","714","22","0","0","1.00000000","0"
"moyerja01","701","15","0","0.1275","696","4.40703703739025","2441","696","279","701","25","0","1","1.48039200","0"
"musiast01","3026","1951","475","0.3308","1","0","0","2907","12439","3026","22","0","24","1.00000000","1"
"newhoha01","492","81","2","0.2012","488","3.371764715980081","1796","488","135","492","17","0","7","1.00000000","1"
"perkicy01","1171","409","30","0.2589","0","0","0","1123","3828","1171","17","6","0","1.00000000","0"
"russeje01","591","10","1","0.1392","589","3.57250002771616","693","589","71","591","14","0","2","1.50745000","0"
"spencji01","1553","599","146","0.2500","0","0","0","1245","9920","1553","15","0","1","1.00000000","0"
"austiji01","1580","390","13","0.2465","0","0","0","1541","2260","1584","18","31","0","1.00000000","0"
"burleri01","1346","449","50","0.2726","0","0","0","1290","2349","1346","13","0","4","1.43743333","0"
"cansejo01","1887","1407","462","0.2660","1","27","0","1012","2003","1887","17","0","6","3.04283333","0"
"dahlebi01","2444","1234","84","0.2724","0","0","0","2433","5359","2446","21","251","0","1.00000000","0"
"damonjo01","2490","1139","235","0.2844","0","0","0","2075","4732","2490","18","0","2","2.40032353","0"
"jacksgr01","718","17","2","0.1356","692","4.296190471876235","889","692","55","718","18","0","1","1.00000000","0"
"larkiba01","2180","960","198","0.2948","0","0","0","2088","3154","2180","19","0","12","3.00762632","1"
"marshmi01","725","16","1","0.1955","724","3.99823528177598","880","724","105","725","14","0","2","1.00000000","0"
"mcdowsa01","429","36","2","0.1537","425","3.369374990463257","2453","427","80","429","15","0","6","1.00000000","0"
"milleha01","349","205","38","0.3225","0","0","0","311","575","349","6","0","0","1.00000000","0"
"pizarju01","496","66","8","0.2021","488","4.029545453461734","1522","488","74","496","18","0","2","1.00000000","0"
"rhodear01","903","0","0","0.1667","900","4.024545460939407","1152","900","38","903","20","0","1","0.89928500","0"
"aguilri01","737","11","3","0.2014","732","3.496315755342182","1030","732","99","737","16","0","3","2.00247333","0"
"ausmubr01","1971","607","80","0.2515","0","0","0","1960","12856","1971","18","385","1","0.97624706","0"
"dentbu01","1392","423","40","0.2469","0","0","0","1388","2122","1392","12","36","3","1.00000000","0"
"donovbi01","459","95","7","0.1928","378","2.8272222214274936","1552","444","385","467","18","245","0","1.00000000","0"
"guilloz01","1993","619","28","0.2638","0","0","0","1928","2935","1993","16","743","3","1.58263750","0"
"huntro01","1483","370","39","0.2730","0","0","0","1420","2822","1483","12","0","2","1.00000000","0"
"kraneed01","1853","614","118","0.2609","0","0","0","1554","10840","1853","18","0","1","1.00000000","0"
"lopezja01","1503","864","260","0.2871","0","0","0","1352","8991","1503","15","0","3","2.07655000","0"
"luzingr01","1821","1128","307","0.2759","0","0","0","1256","2120","1821","15","0","4","1.00000000","0"
"mayje01","556","130","15","0.2338","0","0","0","525","2649","556","10","0","0","1.00000000","0"
"ofarrbo01","1492","549","51","0.2731","0","0","0","1338","4295","1493","21","122","0","1.00000000","0"
"ehmkeho01","429","73","0","0.2081","427","4.3056249767541885","1030","427","143","429","15","0","0","1.00000000","0"
"gagneer01","402","3","1","0.1395","402","3.1281818476590244","718","402","38","402","10","0","3","1.77943750","0"
"hendrge01","2048","1111","267","0.2777","0","0","0","1934","4758","2048","18","0","4","2.06447500","0"
"kendaja01","2085","744","75","0.2878","0","0","0","2054","13067","2085","15","0","3","1.97676250","0"
"leeca01","2099","1363","358","0.2847","0","0","0","2020","4987","2099","14","0","3","3.03991429","0"
"leonadu02","640","69","0","0.1679","640","3.317500030994416","1170","640","174","640","20","0","5","1.00000000","0"
"marioma01","1572","624","36","0.2630","0","0","0","1549","2987","1572","13","356","8","1.00000000","0"
"mcgloly01","320","25","0","0.1732","318","4.955384657933162","939","318","98","320","11","0","1","1.00000000","0"
"smithle02","1023","2","1","0.0469","1022","3.0028571287790933","1251","1022","52","1023","18","0","7","2.12253077","0"
"spahnwa01","783","189","35","0.1939","750","3.2777272679589013","2583","750","222","783","21","0","16","1.00000000","1"
"breitte01","448","126","4","0.2156","380","4.053636355833574","893","445","329","448","11","0","0","1.00000000","0"
"bumbral01","1496","402","54","0.2814","0","0","0","1241","2975","1496","14","0","1","0.33590000","0"
"burdele01","666","75","12","0.1830","626","4.069047632671538","1074","626","245","666","18","0","3","1.00000000","0"
"daubeja01","2014","722","56","0.3031","0","0","0","2002","19634","2014","15","0","0","1.00000000","0"
"lemonch01","1988","884","215","0.2730","0","0","0","1932","4998","1988","16","0","3","1.62856667","0"
"lidgebr01","603","2","0","0.2857","603","4.165454582734541","799","603","23","603","11","0","2","1.69225000","0"
"maddugr01","759","84","5","0.1710","744","3.3843999910354614","3371","744","546","759","23","0","8","4.29963333","1"
"oneilpa01","2053","1269","281","0.2876","1","13.5","2","1959","3915","2053","17","0","5","2.73132667","0"
"pippwa01","1872","998","90","0.2807","0","0","0","1819","18779","1872","15","0","0","1.00000000","0"
"ruffire01","882","273","36","0.2690","624","4.017826101054316","1987","627","155","882","22","0","6","1.00000000","1"
"scottja01","408","73","5","0.2750","356","4.613076971127437","657","357","63","408","12","0","0","1.00000000","0"
"chancfr01","1288","596","20","0.2963","0","0","0","1257","10545","1290","17","946","0","1.00000000","1"
"dykesji01","2282","1071","108","0.2804","2","4.5","0","2276","4901","2283","22","1406","2","1.00000000","0"
"fonsele01","937","485","31","0.3158","1","5.15","0","884","4799","937","12","120","0","1.00000000","0"
"groatdi01","1929","707","39","0.2857","0","0","0","1906","3526","1929","14","0","10","1.00000000","0"
"grossgr01","1809","308","7","0.2865","2","9","3","1280","1882","1809","17","0","0","0.82650000","0"
"hernali01","537","85","10","0.2210","519","4.559545430270108","1976","519","211","537","17","0","2","1.50740000","0"
"meadole01","498","75","5","0.1799","490","4.762352985494277","1063","490","84","499","15","0","0","1.00000000","0"
"oeschjo01","366","41","0","0.1653","365","3.973999961217245","535","365","64","366","12","0","0","1.00000000","0"
"fellebo01","570","99","8","0.1505","570","3.382222188843621","2581","570","146","570","18","0","8","1.00000000","1"
"martipe01","1189","501","59","0.2980","2","2.25","0","1044","1692","1189","13","0","4","1.00000000","0"
"sewelri01","423","59","6","0.2027","390","4.256153858624971","636","390","142","423","13","0","4","1.00000000","0"
"singebi01","324","13","0","0.1090","322","3.150000015894572","1515","322","95","324","14","0","2","1.00000000","0"
"duganjo01","1447","571","42","0.2802","0","0","0","1407","1906","1448","14","0","0","1.00000000","0"
