playerID,gamesBatted,totalRBI,totalHR,gamesPitched,pitchingERA,opponentBattingAvg,gamesFielded,totalPutOut,totalGames,totalSeasons,managerWins,totalAwards,allstarAppearances,porportionalsal,class
stairma01,1895,899,265,0,0,0,1071,3159,1895,19,0,0,0,0.48103889,1
thomago01,1435,782,268,0,0,0,1167,2954,1436,13,0,1,1,1.01026667,1
wallade01,27,0,0,27,7.25,0.27449999999999997,27,3,27,2,0,0,0,0.12523333,0
pughti01,108,4,0,107,92.74000000000002,0.343375,107,31,108,6,0,0,0,0.16140000,0
rizzoto01,12,0,0,12,20.25,0.4435,12,0,12,2,0,0,0,0.13270000,0
selleje01,61,0,0,61,18.68,0.28049999999999997,61,28,61,4,0,0,0,0.29790000,0
seoja01,123,5,0,118,30.22,0.25671428571428573,118,35,123,6,0,0,0,0.21603333,0
servasc01,820,319,63,0,0,0,796,4774,820,11,438,0,0,0.52962222,0
trevial01,939,244,23,0,0,0,818,3907,939,13,0,0,0,0.81143333,0
veresda01,605,1,0,605,35,0.2551,605,43,605,10,0,0,0,0.67009000,0
webstmi01,1265,342,70,0,0,0,1009,1930,1265,13,0,0,0,0.66354000,0
wilkecu01,972,179,8,0,0,0,925,1120,972,11,0,0,0,0.57365714,0
rebouje01,1018,202,20,0,0,0,1008,1214,1018,12,0,0,0,0.24283000,0
riceji01,2089,1451,382,0,0,0,1543,3103,2089,16,0,10,8,4.15698000,1
sageraj01,123,2,0,123,29.05,0.3026,123,17,123,5,0,0,0,0.15224000,0
shephro01,115,5,2,0,0,0,53,56,115,3,0,0,0,0.18735000,0
spoljpa01,195,0,0,195,82.33999999999999,0.29175,195,13,195,6,0,0,0,0.17344000,0
suttebr01,661,6,0,661,36.96000000000001,0.23216666666666666,661,90,661,12,0,10,6,3.59570000,1
tucketj01,173,0,0,171,30.52,0.3114,171,18,173,5,0,0,0,0.15116667,0
watsoal01,209,19,0,206,59.07,0.2935,206,33,209,8,0,0,0,0.59980000,0
wellski01,304,17,4,296,79.08000000000001,0.27793333333333337,296,67,304,12,0,0,0,0.90128571,0
puleoch01,181,10,1,180,30.41,0.24262499999999998,180,34,181,8,0,0,0,0.35030000,0
roajo01,120,3,0,120,47.400000000000006,0.33674999999999994,120,19,120,6,0,0,0,0.13105000,0
rupery01,89,0,0,89,29.959999999999997,0.2803999999999999,89,18,89,5,0,0,0,0.14920000,0
santibe01,1978,920,217,0,0,0,1944,10955,1978,20,0,12,5,1.43007895,1
tellmto01,112,1,0,112,29.13,0.3218,112,15,112,5,0,0,0,0.43570000,0
thompri01,77,0,0,77,8.48,0.26466666666666666,77,2,77,3,0,0,0,0.16920000,0
vatchji01,87,11,1,0,0,0,54,48,87,3,0,0,0,0.16190000,0
vidrojo01,1418,654,128,0,0,0,1136,2092,1418,12,0,1,3,1.56007500,0
werthja01,1583,799,229,0,0,0,1506,2869,1583,15,0,0,1,2.19880000,0
wilsowi02,2154,585,41,0,0,0,2031,5060,2154,19,0,3,2,2.01236000,1
rossyri01,147,28,4,0,0,0,150,130,147,4,0,0,0,0.14440000,0
ruebema01,77,0,0,77,17.15,0.2976666666666667,77,11,77,3,0,0,0,0.11865000,0
seminfr01,47,0,0,47,13.969999999999999,0.2846666666666667,47,19,47,3,0,0,0,0.15350000,0
sharpmi01,557,123,10,0,0,0,473,488,557,8,0,0,1,0.43385000,0
smithda06,87,1,0,87,22.849999999999998,0.25825,87,7,87,4,0,0,0,0.12586667,0
sorrepa01,1093,565,166,0,0,0,884,6251,1093,11,0,0,0,0.84123000,0
veresra01,135,0,0,135,29.08,0.2791666666666666,135,4,135,6,0,0,0,0.16788000,0
sheetbe01,250,12,0,250,38.12,0.259,250,115,250,10,0,0,4,1.96888889,0
stevele01,1012,531,144,0,0,0,836,6671,1012,10,0,0,0,0.91598889,0
stewash01,1386,580,115,0,0,0,1261,2454,1386,14,0,0,0,1.13761667,0
walkech01,526,116,17,0,0,0,370,367,526,11,0,0,0,0.36890000,0
wittbo01,438,5,1,430,95.55,0.27210526315789474,430,148,438,16,0,0,0,1.36069333,1
rivaslu01,648,201,34,0,0,0,625,973,648,8,0,0,0,0.28441667,0
schwaje01,54,0,0,54,14.11,0.21866666666666665,54,3,54,2,0,0,0,0.12725000,0
smithpe02,234,15,0,231,57.53999999999999,0.2730833333333333,231,66,234,11,0,0,0,0.56356667,0
stynech01,828,265,51,0,0,0,709,699,828,10,0,0,0,0.27328889,0
vanegti01,23,0,0,23,21.06,0.2796666666666667,23,7,23,3,0,0,0,0.11166667,0
wagnebi02,854,1,0,853,37.279999999999994,0.16658823529411765,853,33,854,16,0,1,6,2.17917500,1
rincori01,565,0,0,565,50.78,0.24450000000000005,565,21,565,11,0,0,0,0.49118000,0
rogerke02,79,0,0,79,10.4,0.25533333333333336,79,3,79,3,0,0,0,0.17153333,0
sandesc01,473,26,2,472,81.37,0.27035,472,153,473,19,0,0,1,1.25607692,0
strawda01,1583,1000,335,0,0,0,1384,2515,1583,17,0,5,8,2.42032500,1
sullima02,137,28,5,0,0,0,137,663,137,5,0,0,0,0.26370000,0
suzukma01,117,0,0,117,81.58999999999999,0.2921111111111111,117,33,117,6,0,0,0,0.13116667,0
swindgr01,665,13,0,664,81.03,0.2695263157894737,664,86,665,17,0,0,1,1.73227647,0
tallebr01,242,0,0,242,98.13999999999999,0.30599999999999994,242,25,242,9,0,0,0,0.26431667,0
romanro01,82,0,0,82,13.37,0.2823333333333333,82,41,82,3,0,0,0,0.66320000,0
